0         5.614134    5.523283    0.298309  21:10     
0         0.546875    0.455497    0.824444  0.774447      00:18     
1         0.515847    0.458892    0.816667  0.783180      00:18     
2         0.494259    0.429471    0.849444  0.803907      00:19     
3         0.525010    0.442756    0.842222  0.795094      00:17     
4         0.493750    0.448433    0.824444  0.793329      00:18     
5         0.474387    0.436323    0.844167  0.800000      00:18     
6         0.420118    0.458414    0.827778  0.796053      00:19     
7         0.423320    0.435123    0.844167  0.794128      00:18     
8         0.419538    0.462346    0.847500  0.799269      00:17     
9         0.396809    0.457233    0.841944  0.801673      00:19     
10        0.407754    0.454138    0.841389  0.802763      00:18     
11        0.364686    0.461345    0.838889  0.802587      00:18     
12        0.355962    0.462603    0.841111  0.800419      00:19     
13        0.336767    0.488862    0.843611  0.802109      00:18     
14        0.338473    0.477232    0.840278  0.801244      00:19     
15        0.339575    0.471326    0.841944  0.801673      00:18     
16        0.326822    0.477838    0.843889  0.799858      00:19     
17        0.322626    0.479976    0.844722  0.799426      00:19     
18        0.332181    0.471065    0.846944  0.796604      00:20     
19        0.342778    0.458030    0.844722  0.804203      00:17     
0         0.546176    0.454505    0.823056  0.769620      00:18     
1         0.519830    0.449916    0.825556  0.784636      00:19     
2         0.490791    0.437768    0.840556  0.801109      00:19     
3         0.530921    0.440091    0.845833  0.797371      00:17     
4         0.494865    0.435387    0.838889  0.800961      00:18     
5         0.475580    0.447057    0.834722  0.800269      00:18     
6         0.424754    0.460492    0.822500  0.795258      00:19     
7         0.423590    0.444775    0.843889  0.804181      00:18     
8         0.421280    0.461735    0.850278  0.807706      00:18     
9         0.399912    0.464219    0.837222  0.802826      00:19     
10        0.407659    0.459008    0.844722  0.805835      00:17     
11        0.365284    0.474249    0.842500  0.804145      00:19     
12        0.349903    0.463870    0.850278  0.804356      00:19     
13        0.342662    0.473765    0.843889  0.806340      00:19     
14        0.330040    0.462713    0.843889  0.803634      00:18     
15        0.330866    0.478457    0.843333  0.804438      00:18     
16        0.328925    0.467134    0.844722  0.800713      00:19     
17        0.319106    0.486653    0.844444  0.803647      00:19     
18        0.329773    0.473842    0.849722  0.804198      00:19     
19        0.344837    0.473904    0.840556  0.804096      00:18     
0         0.544003    0.458086    0.818889  0.772822      00:19     
1         0.518270    0.455024    0.826389  0.789916      00:19     
2         0.494807    0.438510    0.842778  0.800985      00:19     
3         0.526075    0.442284    0.842500  0.790852      00:18     
4         0.496006    0.438117    0.839444  0.802730      00:18     
5         0.471600    0.441077    0.833889  0.799329      00:18     
6         0.423752    0.462541    0.823333  0.797323      00:19     
7         0.417420    0.440950    0.847222  0.809293      00:18     
8         0.418192    0.474031    0.842222  0.806803      00:18     
