id,is_humor,funniness_average
tweet1,1,1.52274
tweet2,0,0.35177
tweet3,1,2.39872
tweet4,0,0.13869
tweet5,0,0.02165
tweet6,1,1.09908
tweet7,0,1.62513
tweet8,0,0.24938
tweet9,1,0.73036
tweet10,0,0.10942
tweet11,1,2.01976
tweet12,1,2.30532
tweet13,1,2.27639
tweet14,1,1.57557
tweet15,1,1.88376
tweet16,0,1.02405
tweet17,0,0.07263
tweet18,0,0.31711
tweet19,1,2.35531
tweet20,0,0.40650
tweet21,0,0.04024
tweet22,1,1.27900
tweet23,1,2.35119
tweet24,0,0.35002
tweet25,0,0.40456
tweet26,0,0.32893
tweet27,1,2.37521
tweet28,0,0.08271
tweet29,0,0.27618
tweet30,0,1.01681
tweet31,1,2.02302
tweet32,0,0.10230
tweet33,1,1.96671
tweet34,0,0.79327
tweet35,0,0.21739
tweet36,0,0.37153
tweet37,0,0.37178
tweet38,0,0.14537
tweet39,1,1.48836
tweet40,0,0.02115
tweet41,0,0.42075
tweet42,0,0.31826
tweet43,0,0.45821
tweet44,0,0.08983
tweet45,0,0.52976
tweet46,0,0.38541
tweet47,1,1.20705
tweet48,1,1.42682
tweet49,0,0.32368
tweet50,0,0.45639
tweet51,0,-0.00383
tweet52,0,0.05158
tweet53,1,2.13880
tweet54,0,0.30397
tweet55,1,2.20137
tweet56,1,2.06647
tweet57,1,1.60871
tweet58,0,0.41023
tweet59,0,0.75159
tweet60,0,0.11315
tweet61,1,1.27704
tweet62,1,2.17067
tweet63,0,0.28641
tweet64,1,1.16450
tweet65,1,2.09110
tweet66,0,0.56588
tweet67,0,0.33331
tweet68,0,0.11394
tweet69,0,1.47719
tweet70,1,0.59890
tweet71,0,0.76595
tweet72,0,-0.05811
tweet73,0,0.28067
tweet74,0,0.72731
tweet75,0,0.52180
tweet76,0,0.21400
tweet77,0,0.59691
tweet78,1,1.34920
tweet79,1,1.64237
tweet80,1,1.59853
tweet81,0,0.04633
tweet82,0,0.05131
tweet83,0,-0.04200
tweet84,0,0.28731
tweet85,0,0.01812
tweet86,1,2.08331
tweet87,1,1.38223
tweet88,0,-0.00431
tweet89,1,2.51741
tweet90,1,1.53774
tweet91,0,0.04137
tweet92,0,0.24158
tweet93,0,0.02987
tweet94,1,1.23940
tweet95,0,0.24227
tweet96,1,1.57228
tweet97,0,1.17300
tweet98,0,-0.00064
tweet99,1,1.01993
tweet100,0,0.62032
tweet101,1,2.26770
tweet102,1,1.53168
tweet103,1,1.90629
tweet104,1,2.09261
tweet105,1,1.36265
tweet106,0,0.86516
tweet107,1,2.34616
tweet108,0,0.81803
tweet109,0,0.04907
tweet110,1,2.42518
tweet111,0,0.27541
tweet112,0,0.86997
tweet113,1,2.41499
tweet114,0,0.06999
tweet115,1,2.51140
tweet116,0,0.00231
tweet117,0,0.08661
tweet118,0,-0.14911
tweet119,0,0.05030
tweet120,0,0.34093
tweet121,0,0.41223
tweet122,0,0.26478
tweet123,1,1.71969
tweet124,1,1.20660
tweet125,0,0.22567
tweet126,0,0.38967
tweet127,0,0.49034
tweet128,0,0.44727
tweet129,0,0.17191
tweet130,1,1.96722
tweet131,0,0.15640
tweet132,0,0.12108
tweet133,0,0.18143
tweet134,0,0.75219
tweet135,1,1.61877
tweet136,0,0.25429
tweet137,0,-0.07798
tweet138,1,1.78342
tweet139,1,2.10100
tweet140,0,0.02637
tweet141,0,0.36688
tweet142,1,2.02508
tweet143,0,0.07872
tweet144,0,0.34613
tweet145,0,0.42870
tweet146,1,1.62550
tweet147,1,2.29313
tweet148,0,0.15341
tweet149,0,0.99743
tweet150,0,1.04542
tweet151,0,0.26525
tweet152,0,0.60493
tweet153,0,0.13016
tweet154,0,0.53137
tweet155,1,1.86706
tweet156,0,0.68570
tweet157,0,0.13739
tweet158,0,0.87371
tweet159,0,0.42142
tweet160,1,0.89823
tweet161,0,0.23711
tweet162,1,1.98339
tweet163,0,1.81952
tweet164,0,0.26422
tweet165,0,0.13742
tweet166,1,1.94184
tweet167,1,2.42681
tweet168,0,0.10984
tweet169,1,2.51493
tweet170,1,2.22960
tweet171,0,0.92395
tweet172,0,0.59272
tweet173,1,0.45305
tweet174,0,0.60281
tweet175,1,2.63894
tweet176,0,0.45166
tweet177,1,1.42643
tweet178,1,1.46253
tweet179,0,0.21328
tweet180,1,1.85063
tweet181,1,0.12896
tweet182,1,0.79436
tweet183,1,2.16296
tweet184,0,0.17235
tweet185,1,1.53481
tweet186,1,0.80676
tweet187,0,0.17130
tweet188,0,0.12041
tweet189,1,1.75658
tweet190,1,2.19147
tweet191,0,0.99306
tweet192,0,0.12799
tweet193,1,2.08372
tweet194,0,0.28111
tweet195,1,2.01899
tweet196,0,0.13394
tweet197,1,2.06311
tweet198,0,0.51818
tweet199,0,0.51744
tweet200,0,-0.10177
tweet201,0,0.45441
tweet202,1,1.30159
tweet203,0,0.66540
tweet204,1,1.92329
tweet205,0,0.12261
tweet206,1,1.28856
tweet207,0,0.16938
tweet208,1,2.20890
tweet209,0,0.90913
tweet210,1,0.94089
tweet211,1,1.75366
tweet212,0,0.53588
tweet213,1,1.89052
tweet214,0,0.11741
tweet215,0,0.17622
tweet216,0,0.17451
tweet217,1,0.63587
tweet218,1,0.82967
tweet219,0,0.39729
tweet220,1,1.97278
tweet221,0,0.46218
tweet222,0,-0.12819
tweet223,1,1.02111
tweet224,0,0.74340
tweet225,0,0.84318
tweet226,1,0.68893
tweet227,1,0.99334
tweet228,0,0.20801
tweet229,1,2.17524
tweet230,0,0.16421
tweet231,1,0.65921
tweet232,1,2.34624
tweet233,1,1.75406
tweet234,0,0.07402
tweet235,0,0.12589
tweet236,1,2.28458
tweet237,1,2.07239
tweet238,0,0.05223
tweet239,0,0.12462
tweet240,1,1.44406
tweet241,1,1.95734
tweet242,1,1.48480
tweet243,0,0.24134
tweet244,0,0.39060
tweet245,1,1.80018
tweet246,0,0.18016
tweet247,1,2.73075
tweet248,1,1.34722
tweet249,0,0.26343
tweet250,0,0.42814
tweet251,0,0.14053
tweet252,0,0.97816
tweet253,0,0.30532
tweet254,1,1.17372
tweet255,0,0.10422
tweet256,1,2.02467
tweet257,1,1.73725
tweet258,0,0.61813
tweet259,1,2.61811
tweet260,0,0.60048
tweet261,0,0.55636
tweet262,0,0.08479
tweet263,0,-0.01659
tweet264,1,1.63805
tweet265,1,1.62292
tweet266,1,1.25684
tweet267,0,0.33040
tweet268,0,0.44557
tweet269,1,2.28317
tweet270,0,0.37698
tweet271,1,1.72882
tweet272,1,2.01230
tweet273,1,1.80953
tweet274,0,0.06464
tweet275,1,2.32833
tweet276,1,2.41852
tweet277,0,-0.00086
tweet278,1,1.05061
tweet279,0,-0.04002
tweet280,1,2.00930
tweet281,0,1.21119
tweet282,1,1.59788
tweet283,0,0.48491
tweet284,1,1.38429
tweet285,1,2.25916
tweet286,0,0.33141
tweet287,1,1.51468
tweet288,1,1.29697
tweet289,1,0.96958
tweet290,1,1.87750
tweet291,0,0.18759
tweet292,0,-0.05416
tweet293,1,2.13789
tweet294,1,1.93624
tweet295,0,-0.11067
tweet296,1,2.14835
tweet297,0,0.11025
tweet298,1,1.74156
tweet299,0,-0.01344
tweet300,0,0.27259
tweet301,1,1.89069
tweet302,0,-0.04738
tweet303,0,0.12788
tweet304,0,1.38008
tweet305,1,2.33594
tweet306,0,0.37699
tweet307,1,2.10526
tweet308,1,2.17785
tweet309,1,1.14586
tweet310,0,0.85484
tweet311,1,2.26856
tweet312,0,0.21894
tweet313,0,0.89043
tweet314,0,0.25544
tweet315,1,0.74677
tweet316,0,0.46803
tweet317,0,0.18475
tweet318,0,0.68333
tweet319,0,0.17210
tweet320,1,1.80025
tweet321,0,0.14333
tweet322,0,0.15898
tweet323,1,2.25134
tweet324,1,2.11556
tweet325,1,2.01152
tweet326,1,1.17239
tweet327,0,1.06280
tweet328,1,2.23032
tweet329,1,1.46593
tweet330,1,2.29014
tweet331,1,2.10014
tweet332,1,1.04239
tweet333,0,-0.18675
tweet334,0,0.10340
tweet335,0,0.34246
tweet336,1,2.90367
tweet337,0,0.07138
tweet338,0,0.69933
tweet339,0,0.06097
tweet340,0,0.30468
tweet341,0,0.12611
tweet342,0,0.05989
tweet343,0,-0.13652
tweet344,0,0.65982
tweet345,1,1.30480
tweet346,0,0.83409
tweet347,0,0.24774
tweet348,0,0.59283
tweet349,0,0.20837
tweet350,1,1.95216
tweet351,1,2.29496
tweet352,0,-0.05759
tweet353,1,0.46719
tweet354,1,2.26763
tweet355,0,0.23820
tweet356,1,1.72320
tweet357,0,0.60763
tweet358,1,2.38270
tweet359,0,0.00861
tweet360,1,1.52624
tweet361,0,-0.00361
tweet362,0,0.59440
tweet363,0,0.19003
tweet364,1,1.55780
tweet365,1,2.40715
tweet366,0,0.01584
tweet367,0,0.08746
tweet368,0,0.13282
tweet369,1,1.46927
tweet370,1,1.64667
tweet371,0,0.49746
tweet372,0,0.93991
tweet373,0,0.85201
tweet374,0,0.28540
tweet375,0,0.74436
tweet376,1,1.81156
tweet377,0,-0.05854
tweet378,1,1.00975
tweet379,1,1.28322
tweet380,1,0.97598
tweet381,1,1.16052
tweet382,1,1.39335
tweet383,0,0.05849
tweet384,1,1.77951
tweet385,0,0.20167
tweet386,1,1.15485
tweet387,1,0.40152
tweet388,1,1.91827
tweet389,0,0.21945
tweet390,0,-0.22145
tweet391,1,2.13439
tweet392,1,1.75455
tweet393,0,0.47934
tweet394,1,1.95960
tweet395,0,0.01383
tweet396,1,2.02265
tweet397,0,0.46030
tweet398,0,0.08899
