id,is_humor,funniness_average
tweet1,1,1.6622441
tweet2,0,0.13844728
tweet3,1,2.3984315
tweet4,0,0.18859333
tweet5,0,-0.3382496
tweet6,1,0.8964003
tweet7,1,0.8879646
tweet8,0,0.27677178
tweet9,1,0.72174716
tweet10,0,0.11969726
tweet11,1,1.9827734
tweet12,1,2.3351274
tweet13,1,2.0012045
tweet14,1,1.0712771
tweet15,1,1.8553108
tweet16,0,0.4523439
tweet17,0,0.16853666
tweet18,0,0.42843604
tweet19,1,2.1132402
tweet20,0,0.046768833
tweet21,0,0.14949323
tweet22,0,0.80461067
tweet23,1,2.2156003
tweet24,0,0.3625934
tweet25,0,0.6870834
tweet26,0,0.20426954
tweet27,1,2.3161888
tweet28,0,0.15278661
tweet29,0,0.038638152
tweet30,1,1.5905297
tweet31,1,2.0041776
tweet32,0,-0.012968689
tweet33,1,1.5088078
tweet34,0,0.48858586
tweet35,0,0.5106816
tweet36,0,0.1549696
tweet37,0,0.28247467
tweet38,0,0.29079646
tweet39,1,0.868832
tweet40,0,0.08958814
tweet41,0,0.21958849
tweet42,0,0.44849002
tweet43,0,0.29482314
tweet44,0,-0.057595626
tweet45,0,0.34180415
tweet46,0,0.061098725
tweet47,1,1.2728359
tweet48,1,2.0881982
tweet49,0,0.45196274
tweet50,0,0.30173802
tweet51,0,-0.023004346
tweet52,0,0.48559383
tweet53,1,2.084286
tweet54,0,0.4756824
tweet55,1,2.161852
tweet56,1,2.2756975
tweet57,1,1.1830316
tweet58,0,0.57239324
tweet59,0,0.55670536
tweet60,0,0.18750414
tweet61,0,0.561262
tweet62,1,1.8861965
tweet63,0,0.30739185
tweet64,1,1.0760884
tweet65,1,2.1574824
tweet66,0,0.48120022
tweet67,0,0.36319315
tweet68,0,0.20108427
tweet69,1,0.94785255
tweet70,1,1.1893139
tweet71,0,0.45669097
tweet72,0,-0.07569867
tweet73,0,0.4070018
tweet74,0,0.53611284
tweet75,0,0.15366161
tweet76,0,-0.16553888
tweet77,0,0.47402024
tweet78,1,1.5373466
tweet79,1,1.790583
tweet80,1,1.6022867
tweet81,0,-0.12786023
tweet82,0,-0.20875508
tweet83,0,-0.1130225
tweet84,0,0.29408374
tweet85,0,0.2548127
tweet86,1,2.0432394
tweet87,1,1.4653032
tweet88,0,-0.09531856
tweet89,1,2.36952
tweet90,1,1.5447066
tweet91,0,-0.00056156993
tweet92,0,0.008986706
tweet93,0,-0.091642216
tweet94,1,1.055052
tweet95,0,0.2400836
tweet96,1,1.6419302
tweet97,1,1.4112539
tweet98,0,0.055043954
tweet99,1,2.0303662
tweet100,0,0.3959092
tweet101,1,2.3702993
tweet102,1,1.7481755
tweet103,1,1.9841725
tweet104,1,1.8508171
tweet105,1,0.88721496
tweet106,1,1.1410313
tweet107,1,2.239623
tweet108,0,0.32816052
tweet109,0,0.047805034
tweet110,1,2.2300532
tweet111,0,-0.007570875
tweet112,0,0.38919324
tweet113,1,2.3411107
tweet114,0,0.10870593
tweet115,1,2.581734
tweet116,0,0.04320916
tweet117,0,0.14603643
tweet118,0,-0.18679212
tweet119,0,0.04499301
tweet120,0,0.34170377
tweet121,0,0.26041958
tweet122,0,0.22381991
tweet123,1,2.1209502
tweet124,1,1.194069
tweet125,0,0.31605604
tweet126,0,0.33276936
tweet127,0,0.293438
tweet128,0,0.06344101
tweet129,0,0.175686
tweet130,1,1.9751997
tweet131,0,0.038280476
tweet132,0,0.14567384
tweet133,0,-0.08682135
tweet134,0,0.15728909
tweet135,1,1.6033576
tweet136,0,0.002888918
tweet137,0,-0.13550314
tweet138,1,2.2227468
tweet139,1,2.2239418
tweet140,0,0.11279274
tweet141,0,0.26800564
tweet142,1,1.8052726
tweet143,0,0.008108356
tweet144,0,0.23146
tweet145,0,0.5142914
tweet146,1,1.7313968
tweet147,1,2.2331724
tweet148,0,-0.010094681
tweet149,0,0.8015692
tweet150,0,0.1879093
tweet151,0,0.200772
tweet152,0,0.2525633
tweet153,0,-0.11811688
tweet154,0,0.18208417
tweet155,1,1.8861389
tweet156,0,0.22265571
tweet157,0,0.120653026
tweet158,0,0.65832055
tweet159,0,0.3671732
tweet160,1,1.5529126
tweet161,0,0.23529048
tweet162,1,2.0756698
tweet163,0,0.7797382
tweet164,0,0.070081644
tweet165,0,0.19155176
tweet166,1,1.8807938
tweet167,1,2.3518753
tweet168,0,-0.11355632
tweet169,1,2.5021114
tweet170,1,2.383062
tweet171,0,0.22567311
tweet172,1,0.5988157
tweet173,0,0.42034683
tweet174,0,0.32005134
tweet175,1,2.4590082
tweet176,0,0.19417976
tweet177,1,1.3608637
tweet178,1,1.2941153
tweet179,0,0.09414445
tweet180,1,1.7579886
tweet181,0,0.42415178
tweet182,1,1.4191765
tweet183,1,2.1464362
tweet184,0,0.08279328
tweet185,1,1.6903262
tweet186,0,0.48169214
tweet187,0,0.4390477
tweet188,0,0.11441623
tweet189,1,1.5846077
tweet190,1,2.3472674
tweet191,1,1.1540676
tweet192,0,0.13827047
tweet193,1,1.9347838
tweet194,0,0.36954796
tweet195,1,2.0149364
tweet196,0,0.17106289
tweet197,1,1.919639
tweet198,0,0.1905922
tweet199,0,0.51948947
tweet200,0,-0.25660428
tweet201,0,0.5702808
tweet202,1,1.1197405
